内部識別子,env_chiki,bsc_nobeyuka_menseki,bsc_shukyoshitsu_menseki,bsc_sonotakyoshitsu_menseki,ip_yuka_dannetsu,ip_bath_dannetsu,u_value_ceil,u_value_wall,u_value_floor_general,u_value_floor_bath,u_value_door,u_value_window,ss_eta_value_window,sw_eta_value_window,syutoku_nissya_houhou,ss_syutoku_nissya_value_window,sw_syutoku_nissya_value_window,gaisyu_u_value_general,gaisyu_u_value_entrance,gaisyu_u_value_bath,U_A,eta_AC,eta_AH
ケース95,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,10,1.8,1.8,6.26,13.5,14.1
ケース96,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,0,1.8,1.8,6.14,13.9,14.7
ケース97,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース98,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,9.999,1.8,1.8,6.26,13.5,14.1
ケース99,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,10,1.8,1.8,6.26,13.5,14.1
ケース100,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,0,1.8,6.1,13.9,14.7
ケース101,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース102,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,9.999,1.8,6.31,13.9,14.7
ケース103,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,10,1.8,6.31,13.9,14.7
ケース104,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.14,13.9,14.7
ケース105,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.14,13.9,14.7
ケース106,1,120.08,29.81,51.34,1,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.14,13.9,14.7
ケース107,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.09,13.9,14.7
ケース108,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース109,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.32,13.9,14.7
ケース110,1,120.08,29.81,51.34,1,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.32,13.9,14.7
ケース111,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.14,13.9,14.7
ケース112,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース113,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.14,13.9,14.7
ケース114,1,120.08,29.81,51.34,1,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.14,13.9,14.7
ケース115,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,5.44,13.5,14.1
ケース116,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース117,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,5.44,13.5,14.1
ケース118,1,120.08,29.81,51.34,2,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,5.44,13.5,14.1
ケース119,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,5.44,13.5,14.1
ケース120,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース121,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,5.44,13.5,14.1
ケース122,1,120.08,29.81,51.34,2,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,5.44,13.5,14.1
ケース123,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,5.44,13.5,14.1
ケース124,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,5.44,13.5,14.1
ケース125,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,5.44,13.5,14.1
ケース126,1,120.08,29.81,51.34,2,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,5.44,13.5,14.1
ケース127,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.14,13.9,14.7
ケース128,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース129,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.14,13.9,14.7
ケース130,1,120.08,29.81,51.34,3,1,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.14,13.9,14.7
ケース131,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.09,13.9,14.7
ケース132,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.13,13.9,14.7
ケース133,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.32,13.9,14.7
ケース134,1,120.08,29.81,51.34,3,2,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.32,13.9,14.7
ケース135,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,0,6.14,13.9,14.7
ケース136,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,1.8,6.14,13.9,14.7
ケース137,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,9.999,6.14,13.9,14.7
ケース138,1,120.08,29.81,51.34,3,3,7.7,6.67,5.27,5.27,4.65,6.51,0.7,0.7,1,0.93,0.51,1.8,1.8,10,6.14,13.9,14.7
